seed,scenario,ft,n_users,merger_day,merger_shift,merger_noise,MTTD_days,User_FP_pct,MTTD_days_mean,MTTD_days_std,User_FP_pct_mean,User_FP_pct_std
0,none,3,4000,-1,0.0,0.0,2.625,0.0,,,,
1,none,3,4000,-1,0.0,0.0,3.7,0.02506265664160401,,,,
2,none,3,4000,-1,0.0,0.0,3.25,0.02506265664160401,,,,
3,none,3,4000,-1,0.0,0.0,2.9,0.02506265664160401,,,,
4,none,3,4000,-1,0.0,0.0,3.0,0.05012531328320802,,,,
5,none,3,4000,-1,0.0,0.0,2.5555555555555554,0.0,,,,
6,none,3,4000,-1,0.0,0.0,2.7,0.02506265664160401,,,,
7,none,3,4000,-1,0.0,0.0,3.0,0.05012531328320802,,,,
8,none,3,4000,-1,0.0,0.0,2.888888888888889,0.0,,,,
9,none,3,4000,-1,0.0,0.0,3.1,0.0,,,,
0,merger_day_5,3,4000,5,0.12,0.03,2.2857142857142856,39.27318295739348,,,,
1,merger_day_5,3,4000,5,0.12,0.03,2.1666666666666665,37.31829573934837,,,,
2,merger_day_5,3,4000,5,0.12,0.03,3.0,37.24310776942356,,,,
3,merger_day_5,3,4000,5,0.12,0.03,2.1666666666666665,38.17042606516291,,,,
4,merger_day_5,3,4000,5,0.12,0.03,3.2,38.822055137844615,,,,
5,merger_day_5,3,4000,5,0.12,0.03,2.6666666666666665,35.86466165413534,,,,
6,merger_day_5,3,4000,5,0.12,0.03,2.75,38.52130325814536,,,,
7,merger_day_5,3,4000,5,0.12,0.03,1.5,37.11779448621554,,,,
8,merger_day_5,3,4000,5,0.12,0.03,1.8333333333333333,36.84210526315789,,,,
9,merger_day_5,3,4000,5,0.12,0.03,0.75,39.097744360902254,,,,
0,merger_day_10,3,4000,10,0.12,0.03,3.0,31.779448621553886,,,,
1,merger_day_10,3,4000,10,0.12,0.03,2.25,30.72681704260652,,,,
2,merger_day_10,3,4000,10,0.12,0.03,2.6666666666666665,29.54887218045113,,,,
3,merger_day_10,3,4000,10,0.12,0.03,2.375,29.724310776942353,,,,
4,merger_day_10,3,4000,10,0.12,0.03,2.2857142857142856,31.82957393483709,,,,
5,merger_day_10,3,4000,10,0.12,0.03,1.8571428571428572,29.57393483709273,,,,
6,merger_day_10,3,4000,10,0.12,0.03,2.6666666666666665,30.0,,,,
7,merger_day_10,3,4000,10,0.12,0.03,2.2,28.89724310776942,,,,
8,merger_day_10,3,4000,10,0.12,0.03,2.142857142857143,29.79949874686717,,,,
9,merger_day_10,3,4000,10,0.12,0.03,2.4285714285714284,32.65664160401002,,,,
0,merger_day_15,3,4000,15,0.12,0.03,2.5555555555555554,21.278195488721803,,,,
1,merger_day_15,3,4000,15,0.12,0.03,2.2222222222222223,20.651629072681704,,,,
2,merger_day_15,3,4000,15,0.12,0.03,1.8571428571428572,21.779448621553886,,,,
3,merger_day_15,3,4000,15,0.12,0.03,2.6666666666666665,21.67919799498747,,,,
4,merger_day_15,3,4000,15,0.12,0.03,3.142857142857143,21.2531328320802,,,,
5,merger_day_15,3,4000,15,0.12,0.03,2.5,21.027568922305765,,,,
6,merger_day_15,3,4000,15,0.12,0.03,2.2222222222222223,20.526315789473685,,,,
7,merger_day_15,3,4000,15,0.12,0.03,1.8333333333333333,21.002506265664163,,,,
8,merger_day_15,3,4000,15,0.12,0.03,2.2222222222222223,21.07769423558897,,,,
9,merger_day_15,3,4000,15,0.12,0.03,3.0,22.882205513784463,,,,
MEAN_STD,merger_day_10,3,4000,10,0.12,0.03,,,2.3872619047619046,0.3229066788253732,30.453634085213032,1.236449795399402
MEAN_STD,merger_day_15,3,4000,15,0.12,0.03,,,2.422222222222222,0.4375216703891736,21.315789473684212,0.675633732569608
MEAN_STD,merger_day_5,3,4000,5,0.12,0.03,,,2.231904761904762,0.7368561027091879,37.82706766917293,1.1165343993262586
MEAN_STD,none,3,4000,-1,0.0,0.0,,,2.9719444444444445,0.3341873063010171,0.020050125313283207,0.019769690169088108
