scenario,merger_day,Day,Regret_Target,Regret_NonTarget
none,-1,0,7.389165617899762,7.298633403962251
none,-1,1,7.17715192649141,7.273780809504869
none,-1,2,7.092397411923729,7.256569878705588
none,-1,3,7.086017452343066,7.236662161090396
none,-1,4,7.316196095014083,7.227228479365166
none,-1,5,6.9931108801706525,7.208671108347355
none,-1,6,7.594104082178427,7.222054317750344
none,-1,7,7.663606229091539,7.201078013407377
none,-1,8,8.274104648806631,7.195805664102272
none,-1,9,8.658143050989834,7.204402481354656
none,-1,10,9.026992734655117,7.193592942071996
none,-1,11,9.668654175587694,7.206340462055481
none,-1,12,10.56683147836876,7.175744762255819
none,-1,13,11.409190843348986,7.178122434168489
none,-1,14,12.36349705459033,7.165693420617925
none,-1,15,13.39250657014849,7.174325478844824
none,-1,16,14.073793948714552,7.181959290240049
none,-1,17,14.951516074681185,7.178376050516202
none,-1,18,14.955211242089064,7.166962467146777
none,-1,19,14.911828319879138,7.177199153750065
none,-1,20,14.582391592652396,7.180412832373899
none,-1,21,14.165915451744192,7.1761795642449115
none,-1,22,12.675993857768741,7.170966079223786
none,-1,23,11.618462227085862,7.162042353200211
none,-1,24,9.76715123012676,7.183987962458637
none,-1,25,7.022754107233817,7.166702800144411
none,-1,26,5.6060621340058985,7.186194412778853
none,-1,27,3.6614762733748463,7.171329408854744
none,-1,28,2.768401987390521,7.17428803772569
none,-1,29,1.8456000000043684,7.177090479844367
merger_day_5,5,0,7.389165617899762,7.298633403962251
merger_day_5,5,1,7.17715192649141,7.273780809504869
merger_day_5,5,2,7.092397411923729,7.256569878705588
merger_day_5,5,3,7.086017452343066,7.236662161090396
merger_day_5,5,4,7.316196095014083,7.227228479365166
merger_day_5,5,5,6.9931108801706525,7.208671108347355
merger_day_5,5,6,7.5548939232439025,7.176571965051153
merger_day_5,5,7,7.596883039071331,7.1338875540335325
merger_day_5,5,8,8.206637465815847,7.121471964460016
merger_day_5,5,9,8.613522613838725,7.122390397472498
merger_day_5,5,10,8.755212500875325,7.106627766782911
merger_day_5,5,11,9.386018297142414,7.118172878759052
merger_day_5,5,12,10.015988134618706,7.089870808505637
merger_day_5,5,13,10.631712019308786,7.091118213943352
merger_day_5,5,14,11.1984129962368,7.082280436034887
merger_day_5,5,15,11.894329761486365,7.095629635967176
merger_day_5,5,16,12.362528074103533,7.098907711637073
merger_day_5,5,17,12.182471872707053,7.099080146863744
merger_day_5,5,18,11.604571617718248,7.084267787727386
merger_day_5,5,19,10.978541173568123,7.093938541046879
merger_day_5,5,20,10.033013391802637,7.1058847205581745
merger_day_5,5,21,9.158887857493426,7.099115136470045
merger_day_5,5,22,7.672668360909354,7.090481640708864
merger_day_5,5,23,6.05122622047673,7.078022213706767
merger_day_5,5,24,4.859950775148428,7.09914600228017
merger_day_5,5,25,3.567952491470957,7.086908183187374
merger_day_5,5,26,2.906813885003438,7.092731758278646
merger_day_5,5,27,2.1928932153295237,7.101072162827249
merger_day_5,5,28,1.4864184297293845,7.087315762686818
merger_day_5,5,29,0.738240061660498,7.09380777307819
merger_day_10,10,0,7.389165617899762,7.298633403962251
merger_day_10,10,1,7.17715192649141,7.273780809504869
merger_day_10,10,2,7.092397411923729,7.256569878705588
merger_day_10,10,3,7.086017452343066,7.236662161090396
merger_day_10,10,4,7.316196095014083,7.227228479365166
merger_day_10,10,5,6.9931108801706525,7.208671108347355
merger_day_10,10,6,7.594104082178427,7.222054317750344
merger_day_10,10,7,7.663606229091539,7.201078013407377
merger_day_10,10,8,8.274104648806631,7.195805664102272
merger_day_10,10,9,8.658143050989834,7.204402481354656
