Day,Regret_Target,Regret_NonTarget
0,7.679256235569113,7.115860707525216
1,7.652725345859849,7.07855052076679
2,6.8355089543363,7.0434681587104295
3,6.816791494134255,7.032080130533676
4,7.622224168594937,6.985117716964865
5,6.809449382181458,7.024210873304661
6,8.406327160809766,7.017291707067812
7,6.928063208317845,6.995706254680768
8,8.047103474314527,6.997262911965602
9,8.885596945827633,6.984072760333071
10,8.742559453869848,6.956669989063874
11,9.539296672783042,6.987733352091267
12,10.184169109605522,6.991691394826996
13,11.006363562262106,6.971029989834062
14,12.871022531236468,6.974949598042125
15,13.158348278405612,6.986733424281199
16,13.948786656036404,7.005286181224484
17,15.003318082714594,6.991834718212064
18,15.54657555282983,6.98498069081494
19,16.363553791194047,7.013610962953052
20,15.011105596065821,6.968186715771287
21,15.650044309558641,6.995292981238821
22,12.698020420353563,6.9671963338371405
23,8.657965341114123,6.9768584861251846
24,5.025888777094787,6.956717564613363
25,5.430046908315578,6.948065544023401
26,5.553259581365241,6.946494284954532
27,3.7021725461940767,6.978293344274505
28,3.702171428608459,6.988042450456718
29,3.702171428571428,6.99217329315732
